Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Rogue,SUV,Magnetic Black Pearl,Charcoal,Inline-4 Gas,FWD,Gas,Automatic,55453,26,33,17990,2019,2.5,Nissan
Corolla,Sedan,Blueprint,Black,Inline-4 Gas,FWD,Gas,Automatic,58668,30,38,20621,2020,1.8,Toyota
,Pickup Truck,Diamond Black Crystal Pearlcoat,Black,V-6 Gas,4WD,Gas,Automatic,31556,19,24,39989,2020,3.6,Ram
Cherokee,SUV,Bright White Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,108263,19,27,20750,2019,3.2,Jeep
Tacoma,Pickup Truck,Midnight Black Metallic,Unknown,V-6 Gas,4WD,Gas,Automatic,14683,18,22,44990,2021,3.5,Toyota
F-150,Pickup Truck,Agate Black Metallic,Black,V-8 Gas Twin-Turbo,4WD,Gas,Automatic,19849,18,23,40000,2020,5.0,Ford
RAV4,SUV,Super White,Black,Inline-4 Gas,FWD,Gas,Automatic,19886,23,30,24490,2018,2.5,Toyota
TL,Sedan,Nighthawk Black Pearl,Ebony,V-6 Gas,FWD,Gas,Automatic,230828,20,29,3500,2005,3.2,Acura
Grand Cherokee,SUV,Maximum Steel Metallic,Dark Graystone/Medium Graystone,V-6 Gas,4WD,Gas,Automatic,179946,16,23,10000,2013,3.6,Jeep
F-150,Pickup Truck,Black,Unknown,V-8 Gas,4WD,Gas,Automatic,57851,18,23,36600,2019,5.0,Ford
F-150,Pickup Truck,Oxford White,Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,62024,18,25,26481,2015,3.5,Ford
F-150,Pickup Truck,Oxford White,Dark Earth Gray,V-8 Gas,4WD,Gas,Automatic,66014,16,22,32747,2018,5.0,Ford
Corolla,Sedan,Classic Silver Metallic,Black,Inline-4 Gas,FWD,Gas,Automatic,42643,30,38,18999,2020,1.8,Toyota
XT5,SUV,Stellar Black Metallic,Jet Black,V-6 Gas,FWD,Gas,Automatic,43134,19,26,28950,2018,3.6,Cadillac
F-150,Pickup Truck,Black,Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,97043,18,23,33444,2019,2.7,Ford
F-150,Pickup Truck,Black,Black,V-8 Gas,4WD,Gas,Automatic,81308,14,19,28950,2014,5.0,Ford
Charger,Sedan,Destroyer Gray Clearcoat,Black,V-6 Gas,AWD,Gas,Automatic,110803,18,27,20598,2018,3.6,Dodge
F-150,Pickup Truck,Gray,Unknown,V-8 Gas,4WD,Gas,Automatic,41950,18,23,37888,2018,5.0,Ford
